Front,Back,Note
des,die,
films,Filme,
bridge,Brücke,
fill,füllen,
movement,Bewegung,
printing,Drucken,
draft,Entwurf,
chart,Diagramm,
played,gespielt,
contacts,Kontakte,
readers,Leser,
clubs,Clubs,
wa,wa,
adventure,Abenteuer,
offering,Opfer,
profit,profitieren,
leaders,Führung,
posters,Poster,
institutions,Institutionen,
assistant,Assistent,
variable,Variable,
dj,dj,
parking,Parken,
yesterday,gestern,
determined,entschlossen,
workshop,Werkstatt,
gone,Weg,
codes,Codes,
kinds,Arten,
extension,Erweiterung,
statements,Aussagen,
completely,vollständig,
teams,Mannschaften,
fort,Fort,
cm,cm,
senate,Senat,
funny,komisch,
gene,Gen,
turned,gedreht,
disc,Scheibe,
pattern,Muster,
boat,Boot,
theatre,Theater,
manufacturers,Hersteller,
sponsor,Sponsor,
classical,klassisch,
icon,Symbol,
warranty,Garantie,
dedicated,gewidmet,
direction,Richtung,
basketball,Basketball,
objects,Objekte,
delete,löschen,
evening,Abend,
assembly,Versammlung,
nuclear,nuklear,
mouse,Maus,
signal,Signal,
criminal,Verbrecher,
issued,ausgegeben,
powerful,mächtig,
dream,Traum,
FALSE,FALSCH,
da,da,
cast,Besetzung,
flower,Blume,
personnel,Personal,
passed,bestanden,
supplied,geliefert,
falls,Stürze,
soul,Seele,
promote,fördern,
stated,angegeben,
stats,Statistiken,
professionals,Profis,
appears,erscheint,
carry,tragen,
flag,Flagge,
covers,Abdeckungen,
em,em,
advantage,Vorteil,
hello,Hallo,
designs,Design,
maintain,pflegen,
tourism,Tourismus,
priority,Priorität,
adults,Erwachsene,
graphic,Grafik,
atom,Atom,
payments,Zahlungen,
binding,Bindung,
brief,kurz,
ended,beendet,
winning,gewinnt,
anonymous,anonym,
script,Skript,
served,serviert,
wants,will,
prepared,bereit,
void,Leere,
tag,Etikett,
interview,Interview,
mix,mischen,
framework,Rahmen,
disk,Scheibe,
installed,Eingerichtet,
queen,Königin,
credits,Kredite,
clearly,deutlich,
fix,Fix,
handle,Griff,
sweet,Süss,
criteria,Kriterien,
associate,assoziieren,
ne,ne,
behavior,Verhalten,
enlarge,vergrößern,
ray,Strahl,
revenue,Einnahmen,
measure,messen,
votes,Stimmen,
du,du,
duty,Pflicht,
discussions,Diskussionen,
bear,Bär,
gain,gewinnen,
festival,Festival,
laboratory,Labor,
ocean,Ozean,
flights,Flüge,
experts,Fachwelt,
signs,Zeichen,
depth,Tiefe,
train,Zug,
dry,trocken,
explore,erkunden,
spa,Spa,
concept,Konzept,
nearly,fast,
handling,Handhabung,
origin,Ursprung,
billion,Milliarde,
intelligence,Intelligenz,
bought,gekauft,
con,con,
nations,Nationen,
route,Route,
broken,gebrochen,
battle,Schlacht,
speak,sprechen,
protocol,Protokoll,
query,Abfrage,
partnership,Partnerschaft,
expression,Ausdruck,
es,es,
speech,Rede,
wire,Draht,
suggestions,Vorschläge,
replacement,Ersatz,
tape,Band,
strategic,strategisch,
judge,Richter,
acid,Acid,
bytes,Bytes,
cent,Cent,
forced,gezwungen,
compatible,kompatibel,
apartment,Wohnung,
null,Null,
zero,Null,
speaker,Redner,
consulting,Beratung,
designer,Konstrukteur,
pr,pr,
marriage,Ehe,
roll,rollen,
banks,Banken,
fr,fr,
participants,Teilnehmer,
secret,Geheimnis,
negative,Negativ,
favorites,Favoriten,
theater,Theater,
springs,Federung,
var,var,
perform,ausführen,
translation,Übersetzung,
estimates,Schätzungen,
injury,Verletzung,
ministry,Ministerium,
drivers,Treiber,
lawyer,Anwalt,
figures,Figuren,
protected,geschützt,
proposal,Vorschlag,
sharing,teilen,
portal,Portal,
beta,Beta,
gratis,gratis,
toward,zu,
slightly,leicht,
assist,helfen,
conduct,Verhalten,
contained,enthalten,
legislation,Gesetzgebung,
calling,Berufung,
parameters,Parameter,
profiles,Profile,
matters,Angelegenheiten,
houses,Häuser,
controls,Steuerung,
combined,kombiniert,
ultimate,letzte,
representative,Vertreter,
minor,geringer,
departments,Abteilungen,
residents,Bewohner,
displayed,angezeigt,
mom,Mama,
reduced,reduziert,
rare,Selten,
performed,durchgeführt,
extreme,extrem,
samples,Proben,
bars,Riegel,
forecast,Prognose,
removed,entfernt,
cycle,Zyklus,
contain,enthalten,
accuracy,Richtigkeit,
sleep,Schlaf,
mg,mg,
bird,Vogel,
pharmacy,Apotheke,
creation,Schaffung,
static,statisch,
hunter,Jäger,
addresses,Adressen,
lady,Dame,
crystal,Kristall,
famous,berühmt,
writer,Schriftsteller,
chairman,Vorsitzende,
drink,Getränk,
academy,Akademie,
dynamic,dynamisch,
eat,Essen,
permanent,permanent,
cleaning,Reinigung,
constitutes,bildet,
portfolio,Mappe,
practical,praktisch,
delivered,geliefert,
infrastructure,Infrastruktur,
colour,Farbe,
vendor,Verkäufer,
philosophy,Philosophie,
regulation,Verordnung,
officers,Offiziere,
aim,Ziel,
bids,Gebote,
nutrition,Ernährung,
recording,Aufzeichnung,
junior,Junior,
les,les,
cape,Kap,
rings,Ringe,
tip,Spitze,
wonderful,wunderbar,
ticket,Fahrkarte,
announced,angekündigt,
guess,vermuten,
whom,wem,
soccer,Fußball,
math,Mathematik,
import,einführen,
posting,Entsendung,
presence,Gegenwart,
automatic,automatisch,
viewing,Besichtigung,
maintained,gepflegt,
ch,CH,
dan,Dan,
dogs,Hunde,
directors,Direktoren,
aspects,Aspekte,
ahead,voraus,
moon,Mond,
participation,Beteiligung,
scheme,planen,
fly,Fliege,
manner,Weise,
matrix,Matrix,
combination,Kombination,
amendment,Änderung,
strength,Stärke,
turkey,Truthahn,
libraries,Bibliotheken,
proper,richtig,
degrees,Grad,
enterprises,Unternehmen,
delta,Delta,
fear,Angst,
seeking,suche,
inches,Zoll,
convention,Konvention,
shares,Anteile,
principal,Schulleiter,
comfort,Komfort,
colors,Farben,
wars,Kriege,
ordering,Bestellung,
kept,gehalten,
alpha,Alpha,
appeal,Beschwerde,
cruise,Kreuzfahrt,
bonus,Bonus,
hey,Hallo,
buildings,Gebäude,
specials,Angebote,
beat,schlagen,
batteries,Batterien,
becomes,wird,
drives,fährt,
arms,Waffen,
tea,Tee,
improved,verbessert,
achieve,leisten,
positions,Positionen,
dress,Kleid,
subscription,Abonnement,
dealer,Händler,
contemporary,zeitgenössisch,
sky,Himmel,
rom,Rom,
carried,getragen,
exposure,Exposition,
hide,verbergen,
signature,Unterschrift,
miller,Müller,
provision,Bereitstellung,
clothes,Kleider,
frames,Rahmen,
certainly,bestimmt,
newspaper,Zeitung,
toy,Spielzeug,
layer,Schicht,
printed,gedruckt,
slow,langsam,
removal,Entfernung,
liability,Haftung,
printers,Drucker,
adding,Hinzufügen,
spot,Stelle,
spend,verbringen,
factory,Fabrik,
interior,Innere,
grow,wachsen,
optical,optisch,
promotion,Beförderung,
relative,relativ,
amazing,tolle,
dot,Punkt,
identity,Identität,
conversion,Umwandlung,
feeling,Gefühl,
hidden,versteckt,
reasonable,angemessen,
revision,Revision,
influence,beeinflussen,
ratio,Verhältnis,
importance,Bedeutung,
rain,Regen,
planet,Planet,
copies,Kopien,
permit,erlauben,
seeing,Sehen,
proof,Beweis,
bass,Bass,
prescription,Rezept,
empty,leer,
instance,Beispiel,
hole,Loch,
ride,Reiten,
bureau,Büro,
conservation,Erhaltung,
pair,Paar,
ideal,Ideal,
specs,Brille,
recorded,verzeichnet,
don,Don,
pieces,Stücke,
finished,fertig,
parks,Parks,
lawyers,Rechtsanwälte,
stress,Stress,
cream,Sahne,
ss,ss,
runs,läuft,
discover,entdecken,
ap,ap,
patterns,Muster,
hills,Hügel,
nm,nm,
advisor,Berater,
aware,bewusst,
shape,gestalten,
evolution,Evolution,
certificates,Zertifikate,
objectives,Ziele,
stations,Stationen,
suggested,empfohlen,
op,op,
remains,Überreste,
firms,Firmen,
euro,Euro,
operator,Operator,
structures,Strukturen,
generic,generisch,
encyclopedia,Enzyklopädie,
usage,Verwendung,
ink,Tinte,
mixed,gemischt,
census,Volkszählung,
wheel,Rad,
suppliers,Lieferanten,
compact,kompakt,
poetry,Poesie,
lights,Beleuchtung,
tracking,Verfolgung,
angel,Engel,
preparation,Vorbereitung,
attempt,Versuch,
receiving,Empfang,
matches,Streichhölzer,
accordance,Übereinstimmung,
width,Breite,
engines,Motoren,
forget,vergessen,
array,Feld,
discussed,diskutiert,
accurate,genau,
climate,Klima,
greek,griechisch,
instruction,Anweisung,
managing,Verwaltung,
raw,roh,
differences,Unterschiede,
explain,erklären,
establish,Gründen,
expressed,ausgedrückt,
extent,Umfang,
sharp,Scharf,
ben,ben,
paragraph,Absatz,
kill,töten,
mathematics,Mathematik,
compensation,Vergütung,
export,Export,
managers,Manager,
modules,Module,
conducted,geführt,
versions,Versionen,
knows,weiß,
describe,beschreiben,
citizens,Bürger,
heritage,Erbe,
trouble,Ärger,
coach,Trainer,
agricultural,landwirtschaftlich,
expand,erweitern,
audience,Publikum,
assigned,zugewiesen,
collections,Sammlungen,
ages,Ewigkeit,
specialist,Spezialist,
cook,Koch,
affect,beeinflussen,
virgin,Jungfrau,
experienced,erfahren,
investigation,Ermittlung,
raised,angehoben,
hat,Hut,
institution,Institution,
directed,gerichtet,
affected,betroffen,
bike,Fahrrad,
totally,total,
plate,Teller,
expenses,Kosten,
indicate,zeigen,
blonde,blond,
proceedings,Verfahren,
favourite,Favorit,
characteristics,Eigenschaften,
der,der,
lose,verlieren,
organic,organisch,
seek,suchen,
experiences,Erfahrungen,
albums,Alben,
contracts,Verträge,
guests,Gäste,
hosted,Gastgeber,
diseases,Krankheiten,
concerning,über,
equivalent,äquivalent,
chemistry,Chemie,
kits,Kits,
logic,Logik,
prince,Prinz,
circle,Kreis,
soil,Boden,
psychology,Psychologie,
wet,nass,
circumstances,Umstände,
investor,Investor,
elementary,elementar,
sponsors,Sponsoren,
fox,Fuchs,
unlimited,unbegrenzt,
respond,reagieren,
sizes,Größen,
plain,einfach,
exit,Ausfahrt,
arm,Arm,
keys,Schlüssel,
wave,Welle,
holy,heilig,
acts,Handlungen,
guidance,Beratung,
trail,Weg,
symbol,Symbol,
highway,Autobahn,
observed,beobachtete,
dean,Dean,
setup,Konfiguration,
poll,Umfrage,
styles,Arten,
filled,gefüllt,
bond,Bindung,
channels,Kanäle,
appendix,Blinddarm,
chocolate,Schokolade,
portion,Portion,
scope,Umfang,
supplier,Lieferant,
cables,Kabel,
cotton,Baumwolle,
requirement,Anforderung,
killed,getötet,
border,Rand,
ancient,alt,
debate,Debatte,
representatives,Vertreter,
starts,beginnt,
pregnancy,Schwangerschaft,
attractions,Sehenswürdigkeiten,
learned,gelernt,
transactions,Transaktionen,
explorer,Forscher,
historic,historisch,
husband,Mann,
authorized,autorisiert,
crazy,verrückt,
upcoming,bevorstehende,
concert,Konzert,
scores,Partituren,
efficiency,Wirksamkeit,
comedy,Komödie,
adopted,angenommen,
efficient,effizient,
linear,linear,
commitment,Engagement,
specialty,Spezialität,
bears,Bären,
hop,hüpfen,
carrier,Träger,
constant,Konstante,
visa,Visa,
mouth,Mund,
meter,Meter,
linked,verbunden,
